"value","long","lat","state"
94,-90.9564147949219,42.796335144043,"iowa"
1,-95.7264147949219,42.226335144043,"iowa"
51,-94.7164147949219,42.516335144043,"iowa"
59,-90.6264147949219,41.536335144043,"iowa"
18,-90.1464147949219,40.646335144043,"iowa"
19,-93.1064147949219,43.046335144043,"iowa"
62,-91.0464147949219,41.626335144043,"iowa"
20,-91.3364147949219,40.636335144043,"iowa"
17,-96.2164147949219,40.826335144043,"iowa"
66,-91.6264147949219,40.466335144043,"iowa"
6,-92.3964147949219,40.676335144043,"iowa"
65,-93.7364147949219,41.856335144043,"iowa"
17,-95.4264147949219,41.256335144043,"iowa"
11,-93.0864147949219,41.956335144043,"iowa"
69,-94.7864147949219,41.106335144043,"iowa"
30,-93.3364147949219,43.226335144043,"iowa"
72,-94.0464147949219,42.666335144043,"iowa"
96,-96.5864147949219,41.756335144043,"iowa"
90,-93.1764147949219,42.366335144043,"iowa"
88,-93.3264147949219,43.016335144043,"iowa"
